noun_ratio,verb_ratio,adj_ratio,adv_ratio,transition_rate,discourse_marker_rate,hedge_rate,sentiment_mean,sentiment_std,sentiment_range,clause_depth_approx,subordinate_ratio
0.215,0.195,0.11,0.075,0.0,0.0,0.0,-0.5131,0.39811595463298544,0.9576,0.8333333333333334,0.039473684210526314
0.389937106918239,0.1320754716981132,0.11949685534591195,0.012578616352201259,0.0,0.0,0.0,0.25552,0.313867140044956,0.7579,1.6,0.006289308176100629
0.37,0.135,0.055,0.015,0.0,0.0,0.0,0.03426153846153846,0.12255568617170624,0.4511,1.6153846153846154,0.01195219123505976
0.345,0.095,0.1,0.04,0.0,0.0,0.0,0.010693103448275863,0.16989136880317637,0.7328,0.6206896551724138,0.021739130434782608
0.35772357723577236,0.17073170731707318,0.056910569105691054,0.024390243902439025,0.0,0.0,0.0,0.0425,0.11244443072024511,0.34,0.75,0.016260162601626018
0.365,0.16,0.075,0.05,0.0,0.0,0.003194888178913738,-0.05513846153846152,0.5395066072718117,1.8209,1.0769230769230769,0.02875399361022364
0.345,0.175,0.1,0.015,0.005934718100890208,0.0,0.0,0.10984000000000001,0.19397241659576242,0.5574,1.0,0.005934718100890208
0.31,0.15,0.055,0.025,0.004081632653061225,0.004081632653061225,0.0,0.34632631578947365,0.4120694471900085,1.5222,0.6842105263157895,0.0163265306122449
0.5225225225225225,0.09009009009009009,0.036036036036036036,0.0,0.0,0.0,0.0,0.05505,0.14564860967410573,0.4404,2.125,0.0
0.3333333333333333,0.18018018018018017,0.10810810810810811,0.0,0.009009009009009009,0.009009009009009009,0.0,0.4730333333333333,0.32036363020098824,0.91,0.7777777777777778,0.036036036036036036
0.4,0.17894736842105263,0.11578947368421053,0.010526315789473684,0.015789473684210527,0.005263157894736842,0.005263157894736842,0.12381818181818181,0.16744373718944205,0.4767,0.9090909090909091,0.010526315789473684
0.32065217391304346,0.20108695652173914,0.06521739130434782,0.059782608695652176,0.005434782608695652,0.0,0.010869565217391304,-0.1421888888888889,0.2625195799869854,0.8329,0.5555555555555556,0.010869565217391304
0.41,0.135,0.095,0.03,0.0,0.0,0.0,0.15144285714285716,0.28446511891188175,1.1169,1.5,0.01557632398753894
0.255,0.18,0.095,0.04,0.005012531328320802,0.0,0.0,0.018004347826086956,0.22218378894071666,0.8032999999999999,0.9565217391304348,0.03759398496240601
0.28484848484848485,0.1393939393939394,0.19393939393939394,0.030303030303030304,0.006060606060606061,0.0,0.006060606060606061,0.11882857142857146,0.30396297572606584,0.9878,0.5714285714285714,0.012121212121212121
0.205,0.13,0.14,0.095,0.004784688995215311,0.0023923444976076554,0.007177033492822967,-0.024717391304347826,0.3925063086196682,1.512,0.6521739130434783,0.03588516746411483
0.3370165745856354,0.10497237569060773,0.14917127071823205,0.016574585635359115,0.0,0.0,0.0,0.25922,0.3296866566908646,0.9496,1.4,0.0
0.375,0.165,0.07,0.02,0.009009009009009009,0.0,0.0,0.20894615384615386,0.27479410366360485,0.9104,1.0769230769230769,0.0045045045045045045
0.49,0.125,0.075,0.065,0.0,0.0,0.0,0.30154000000000003,0.1922321575595509,0.4939,0.6,0.004761904761904762
0.285,0.175,0.105,0.04,0.012658227848101266,0.0,0.0,0.2667733333333333,0.5261055096545644,1.3633,1.3333333333333333,0.012658227848101266
0.2833333333333333,0.17222222222222222,0.10555555555555556,0.09444444444444444,0.0,0.0,0.005555555555555556,0.538525,0.5631540717615976,1.7360000000000002,3.1666666666666665,0.027777777777777776
0.6596858638743456,0.06282722513089005,0.1099476439790576,0.0,0.0,0.0,0.0,-0.029599999999999998,0.08879999999999999,0.296,0.9,0.0
0.375,0.115,0.075,0.035,0.0,0.0,0.0,0.13006071428571428,0.25970015861605494,1.0751,0.75,0.010273972602739725
0.455,0.1,0.04,0.005,0.014150943396226415,0.0,0.0,0.005385000000000001,0.34017585198688044,1.4652,1.4,0.0
0.305,0.095,0.11,0.01,0.0,0.0,0.0,-0.027275000000000018,0.3934514775780278,1.5346,1.5,0.0189873417721519
